,ID,Venue,T1_Mat,T1_AvgRunsScored/Over,T1_AvgRunsConceded/Over,T1_Avg_Wkts_Taken,T1_Avg_Wkts_Lost,T1_Bound,T1_W/L,T2_Mat,T2_AvgRunsScored/Over,T2_AvgRunsConceded/Over,T2_Avg_Wkts_Taken,T2_Avg_Wkts_Lost,T2_Bound,T2_W/L,Winner
0,454,Oceania,158,7.94,7.71,0.33,0.33,0.98,1.135,144,7.65,7.86,0.32,0.34,0.94,0.972,0
1,455,Oceania,161,8.01,7.84,0.31,0.27,1.01,1.824,169,7.31,7.5,0.31,0.33,0.88,1.38,1
2,456,Oceania,159,7.93,7.73,0.32,0.33,0.98,1.12,149,7.08,7.86,0.28,0.36,0.84,0.732,1
3,457,Oceania,145,7.78,7.87,0.33,0.3,0.95,1.23,99,6.72,8.0,0.27,0.38,0.79,0.285,1
4,458,Oceania,145,7.66,7.85,0.32,0.34,0.94,0.986,150,7.08,7.87,0.28,0.36,0.84,0.724,1
5,459,Oceania,162,8.01,7.83,0.31,0.27,1.01,1.842,146,7.79,7.85,0.33,0.3,0.96,1.246,0
6,460,Oceania,154,8.02,8.1,0.31,0.33,1.04,1.231,146,7.66,7.84,0.32,0.34,0.94,1.0,1
7,461,Oceania,163,8.0,7.83,0.31,0.27,1.01,1.81,100,6.71,8.02,0.27,0.38,0.79,0.282,1
8,462,Oceania,170,7.31,7.5,0.31,0.33,0.88,1.361,147,7.78,7.84,0.33,0.3,0.96,1.261,1
9,463,Oceania,155,8.03,8.1,0.31,0.33,1.04,1.246,152,7.07,7.87,0.28,0.36,0.84,0.727,1
10,464,Oceania,171,7.32,7.5,0.31,0.33,0.88,1.375,101,6.73,8.03,0.27,0.38,0.8,0.278,1
11,465,Oceania,172,7.32,7.49,0.31,0.33,0.88,1.388,147,7.66,7.84,0.32,0.34,0.94,0.986,1
12,466,Oceania,164,8.0,7.83,0.31,0.27,1.01,1.827,156,8.02,8.09,0.31,0.33,1.03,1.26,0
13,468,Oceania,173,7.32,7.49,0.31,0.33,0.88,1.402,157,8.03,8.09,0.31,0.33,1.04,1.275,0
